"","...1","subject_id","Group","Alpha_DTC","Alpha_O","Alpha_S","Alpha_TC","Beta_DTC","Beta_O","Beta_S","Beta_TC","Delta_DTC","Delta_O","Delta_S","Delta_TC","Gamma_DTC","Gamma_O","Gamma_S","Gamma_TC","Theta_DTC","Theta_O","Theta_S","Theta_TC","Wholeband_DTC","Wholeband_O","Wholeband_S","Wholeband_TC"
"1",0,"RS_006_deltas","1",0.454791184,0.061429311,0.939101247,0.000147283,0.338498237,0.315561407,0.155559246,0.025212654,0.044108422,0.498611468,0.099418616,0.055310194,-0.083517122,-0.110316985,-0.247515532,-0.249715976,0.123546518,-0.127140014,0.27064633,-0.177414637,0.229291098,0.133808528,0.503461176,-0.159469732
"2",1,"RS_009_deltas","1",0.131884951,0.0186038,0.320657532,-0.084395702,0.125110144,-0.190667424,0.717714314,0.341210564,0.223400451,-0.042172461,0.511743966,0.288343515,-0.317866514,-0.040129402,-0.619180199,-0.124704327,0.134141392,0.320579029,0.353116999,-0.08247337,0.2510725,-0.198794676,0.612805614,-0.021909862
"3",2,"RS_011_deltas","1",-0.20037409,0.439816503,-0.189679843,-0.701821459,0.154664861,0.303163502,0.286565571,0.218533379,0.019297731,-0.120236979,0.075364714,0.056066983,0.214850175,-0.186279992,1.731772948,0.701985495,-0.056891691,-0.471682483,0.056857906,-0.419421914,0.168260999,-0.328626893,0.323575141,-0.291233351
"4",3,"RS_012_deltas","1",0.690620895,0.503091883,1.384904697,0.719530484,0.568553674,0.427946808,1.71008668,0.920726069,0.559395084,0.297325155,1.160203278,0.600808193,0.370342582,0.503096678,0.205745231,0.020187193,0.223616654,0.033066395,0.445922014,0.073733636,0.785841537,0.822892662,1.877197633,0.753002171
"5",4,"RS_018_deltas","1",-0.356498336,0.010423797,-0.788179257,0.181501799,-0.060081281,-0.069509743,-1.873280752,-0.821127113,0.285376463,0.254872736,0.45406943,0.168692967,-0.056252822,0.003529242,0.763799297,0.418100359,-0.124220619,0.088335526,-0.276141962,0.043354855,-0.009068486,0.23379404,-0.113659737,0.106481108
"6",5,"RS_020_deltas","1",0.059879565,-0.073388346,0.026489619,-0.030602461,0.097406584,0.308412117,-0.604178807,-0.34266929,-0.002142673,0.207127705,-0.134016039,-0.131873366,-0.257349916,0.087235965,-1.435894498,-0.923870769,0.04244593,0.099899411,0.022100036,-0.16415092,0.086168601,-0.176684112,-0.044612257,-0.052178162
"7",6,"RS_021_deltas","1",0.112105725,0.021441091,0.281131648,-0.035094333,0.156314973,0.090454185,-0.122829415,-0.079266913,0.191211581,0.415297962,0.368397108,0.177185527,0.472335761,0.345757429,0.429886173,0.253032709,0.103148819,0.295835337,0.305504593,0.005100948,0.176235945,0.278408536,0.343474757,-0.016649144
"8",7,"RS_030_deltas","1",0.358203181,0.248910707,0.794950302,0.178810105,0.963856539,1.078458122,1.990981751,0.890991387,0.688434954,0.942381604,2.229162277,1.540727323,0.56376109,0.958558759,-0.180306756,0.307906473,0.223233291,0.615532172,0.537375603,0.134839485,0.853570858,0.570761986,2.60488047,0.032114602
"9",8,"RS_032_deltas","1",-0.044836327,0.310849239,-0.168710848,0.199800541,-0.220055623,-0.520541162,0.631648515,0.59892415,-0.104309298,0.320561657,-0.130633111,-0.026323812,0.453761855,0.584920586,-0.009977738,0.101843568,-0.189633076,0.7975113,-0.29324607,0.074472189,-0.328379646,0.242813517,-0.601255489,0.182660773
"10",9,"RS_033_deltas","1",1.736107292,0.033038473,3.522797788,-0.276015252,0.79033224,0.719706769,0.858134314,0.301713444,0.287707867,-0.087287355,0.554506821,0.266798953,0.632825735,0.686835217,1.453514595,1.112359418,1.428939252,-0.060294547,2.79894535,-0.208274877,0.593456094,-0.108224425,1.143977981,-0.342965377
